date,avg_sentiment_score,high,low,open,close,volume,code
2015/5/5,0,4785.19,4572.98,4785.19,4596.84,460419626,hs300
2015/5/6,-0.066666667,4700.91,4511.76,4626.23,4553.33,376073702,hs300
2015/5/7,0.2,4546.34,4467.46,4520.82,4470.09,297759203,hs300
2015/5/8,0,4559.06,4445.59,4515.55,4558.4,302407967,hs300
2015/5/11,0,4690.95,4535.15,4582.09,4690.53,373838420,hs300
2015/5/12,-0.25,4748,4660.02,4692.12,4747.42,377053891,hs300
2015/5/13,0,4758,4678.85,4746.71,4718.44,370730424,hs300
2015/5/14,-0.285714286,4735.28,4670.17,4717.96,4700.78,337725152,hs300
2015/5/15,0.2,4690.75,4592.05,4690.75,4617.47,328431166,hs300
2015/5/18,-0.222222222,4623.38,4565.06,4582.06,4575.14,269180489,hs300
2015/5/19,0.444444444,4740,4577.64,4577.64,4731.22,314785952,hs300
2015/5/20,0.333333333,4843.1,4745.21,4751.57,4754.92,363180748,hs300
2015/5/21,0.166666667,4841.62,4746.03,4768.69,4840.98,305054537,hs300
2015/5/22,0.1,4951.99,4870.6,4895.92,4951.33,455846718,hs300
2015/5/25,-0.2,5099.84,4949.11,4949.11,5099.5,465736590,hs300
2015/5/26,0.2,5199.29,5063.15,5140.8,5198.92,487949359,hs300
2015/5/27,0,5226.84,5126.86,5216.17,5181.43,470798730,hs300
2015/5/28,-0.25,5213.18,4831.33,5174.1,4834.01,571829047,hs300
2015/5/29,-0.125,4924.3,4665.52,4839.53,4840.83,427878859,hs300
2015/6/1,0.272727273,5079.32,4835.77,4862.76,5076.18,417503741,hs300
2015/6/2,0.375,5162.56,5047.08,5091.27,5161.87,412973196,hs300
2015/6/3,-0.142857143,5186.97,5059.5,5176.6,5143.59,414258270,hs300
2015/6/4,0.111111111,5194.23,4863.46,5156.01,5181.42,482767268,hs300
2015/6/5,0.166666667,5288.34,5104.18,5254.9,5230.55,545961196,hs300
2015/6/8,-0.428571429,5370.61,5202.6,5259.41,5353.75,637313237,hs300
2015/6/9,0,5380.43,5251.21,5379.47,5317.46,570427263,hs300
2015/6/10,0,5374.83,5209.68,5254.3,5309.11,442165676,hs300
2015/6/11,1,5329.29,5248.16,5305.14,5306.59,392338755,hs300
2015/6/12,1,5351.65,5283.09,5329.28,5335.12,430131386,hs300
2015/6/15,0,5362.45,5207.31,5354.01,5221.17,475745703,hs300
2015/6/16,0.333333333,5204.3,5015.27,5165.02,5064.82,411675638,hs300
2015/6/17,0.666666667,5158.37,4949.29,5072.31,5138.83,397124187,hs300
2015/6/18,0.25,5121.22,4926.43,5107.69,4930.55,364395814,hs300
2015/6/19,0.222222222,4910.45,4634.69,4847.06,4637.05,358104744,hs300
2015/6/23,0,4786.96,4455.33,4641.42,4786.09,365087944,hs300
2015/6/24,0.2,4883.73,4744.31,4811.6,4880.13,434638723,hs300
2015/6/25,-0.5,4919.26,4667.22,4906.24,4706.52,446135982,hs300
2015/6/26,-0.666666667,4650.19,4278.67,4573.87,4336.19,446639790,hs300
2015/6/29,0.25,4451.17,4000.93,4446.84,4191.55,525662482,hs300
2015/6/30,0.6,4475.77,4016.01,4161.07,4473,527045280,hs300
2015/7/1,0,4526.13,4235.7,4408.98,4253.02,431721411,hs300
2015/7/2,0.083333333,4312.19,4000.06,4287.73,4108,457062194,hs300
2015/7/3,-0.166666667,4164.63,3785.9,4017.2,3885.92,429300850,hs300
2015/7/6,1.029411765,4218.27,3832.47,4218.27,3998.54,648094530,hs300
2015/7/7,-0.181818182,3960.64,3743.62,3877.85,3928,679385007,hs300
2015/7/8,0.052631579,3762.62,3612.25,3651.06,3663.04,581467097,hs300
2015/7/9,-0.05,3930.26,3537.83,3621.68,3897.63,503870610,hs300
2015/7/10,0.133333333,4179.11,3887.55,3916.27,4106.56,500701802,hs300
2015/7/13,0.583333333,4278.16,4072.43,4132.23,4211.81,502092186,hs300
2015/7/14,0.222222222,4258.51,4062.5,4178.63,4112.15,454422009,hs300
2015/7/15,-0.125,4114.24,3899.51,4068.88,3966.76,421956367,hs300
2015/7/16,0.25,4067.02,3856.32,3949.64,3997.36,330531345,hs300
2015/7/17,0,4190.19,4000.23,4023.76,4151.5,331107131,hs300
2015/7/20,0,4221.69,4106.39,4157.06,4160.61,352673472,hs300
2015/7/21,0.1,4201.48,4081.7,4109.76,4166.01,318374945,hs300
2015/7/22,-0.266666667,4187.43,4094.71,4148.56,4157.16,318945997,hs300
2015/7/23,0.333333333,4262.06,4148.82,4158.93,4250.81,354471759,hs300
2015/7/24,0.5,4299.65,4154.62,4255.2,4176.28,392045373,hs300
2015/7/27,0.111111111,4156.31,3817.17,4097.8,3818.73,365054511,hs300
2015/7/28,-0.8,3883.45,3627.42,3690.97,3811.09,383527216,hs300
2015/7/29,-0.181818182,3934,3769.19,3839.96,3930.38,276972845,hs300
